,KIND_OF_CONDITION_ID,IS_RECORD_DELETED,NAME,EXTENSION_TABLE_NAME,RECORD_INSERTION_TIME,RECORD_INSERTION_USER,RECORD_LASTUPDATE_TIME,RECORD_LASTUPDATE_USER,COMMENT_DESCRIPTION,CATEGORY_NAME
0,2640,F,HGC Sensor Manufacturer IV Test,HGC_SENSOR_IV,2018-02-17 07:07:52,Umesh,2020-03-07 10:00:28,CMS_HGC_CORE_COND,HGC Sensor IV Test,MEASUREMENT
1,1100,F,Hamamatsu-S10938-4956 Sensor IV Test,TEST_SENSOR_IV,2017-09-14 06:44:30,Umesh,2020-03-07 10:11:03,CMS_HGC_CORE_COND,Hamamatsu-S10938-4956 Sensor IV Test,MEASUREMENT
2,1120,F,Hamamatsu-S10938-4956 Sensor CV Test,TEST_SENSOR_CV,2017-09-14 06:44:34,Umesh,2020-03-07 10:11:03,CMS_HGC_CORE_COND,Hamamatsu-S10938-4956 Sensor CV Test,MEASUREMENT
3,1140,F,Hamamatsu-S10938-4956 Sensor Test Conds,TEST_SENSOR_CONDITIONS,2017-09-14 06:44:37,Umesh,2020-03-07 10:11:03,CMS_HGC_CORE_COND,Hamamatsu-S10938-4956 Sensor Test Conditions,MEASUREMENT
4,18640,F,HGC Sensor Flatness Data,FLATNS_SENSOR_DATA,2022-10-10 12:18:42,Umesh,,,HGC Sensor Flatness Data,
5,16940,F,HD HGCROC Injection Scan,HGCROC_INJECTION_SCAN,2022-06-24 00:54:54,Umesh,,,HD HGCROC Injection Scan,
6,16960,F,LD HGCROC Injection Scan,HGCROC_INJECTION_SCAN,2022-06-24 00:54:54,Umesh,,,LD HGCROC Injection Scan,
7,16980,F,SiPM HGCROC Injection Scan,HGCROC_INJECTION_SCAN,2022-06-24 00:54:54,Umesh,,,SiPM HGCROC Injection Scan,
8,8240,F,Measured Bare PCB Data,HGC_BARE_PCB_DATA,2020-12-04 02:31:17,Umesh,,,Measured Bare PCB Data,
9,8260,F,Measured Bare PCB Electrical Data,HGC_BARE_PCB_ELEC_DATA,2020-12-04 02:31:17,Umesh,,,Measured Bare PCB Electrical Data,
10,8280,F,Flatness PCB ROCs Mounted,FLATNS_PCB_ROCS_DATA,2020-12-04 02:31:17,Umesh,,,Flatness PCB ROCs Mounted,
11,7000,F,HGC CERN Sensor IV Summary,HGC_CERN_SENSOR_IV_SUMRY,2020-06-26 06:03:25,Umesh,,,HGC CERN Sensor IV Summary,
12,7020,F,HGC CERN Sensor CV Summary,HGC_CERN_SENSOR_CV_SUMRY,2020-06-26 06:26:52,Umesh,,,HGC CERN Sensor CV Test,
13,7800,F,HGC PQC Summary,HGC_PQC_SUMRY,2020-10-27 06:26:43,Umesh,2021-10-06 01:09:01,CMS_HGC_CORE_COND,HGC PQC Summary,
14,6200,F,UCSB High Gain Chan Noise BLOB,HGC_NOISE_MAP_BLOB,2019-06-27 06:33:57,Umesh,2020-03-07 10:11:04,CMS_HGC_CORE_COND,UCSB High Gain Chan Noise BLOB,MEASUREMENT
15,6220,F,UCSB Low Gain Chan Noise BLOB,HGC_NOISE_MAP_BLOB,2019-06-27 06:33:57,Umesh,2020-03-07 10:11:04,CMS_HGC_CORE_COND,UCSB Low Gain Chan Noise BLOB,MEASUREMENT
16,16820,F,HD HGCROC Scan of Phase parameter,HGCROC_PHASE_SCAN,2022-06-22 23:59:32,Umesh,,,HD HGCROC Phase Scan of Phase parameter,
17,16840,F,LD HGCROC Scan of Phase parameter,HGCROC_PHASE_SCAN,2022-06-22 23:59:33,Umesh,,,LD HGCROC Phase Scan of Phase parameter,
